"file","row_number","title_item","link","status","success"
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2013-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2014-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2015-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2016-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2017-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2018-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2019-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",4,"Global plant functional types","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/pft/v2.0.8/ESACCI-LC-L4-PFT-Map-300m-P1Y-2020-v2.0.8.nc?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1992-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1993-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1994-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1995-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1996-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1997-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1998-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-1999-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2000-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2001-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2002-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2003-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2004-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2005-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2006-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2007-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2008-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2009-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2010-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2011-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2012-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2013-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2014-v2.0.7.tif?download=1","200",TRUE
"csv/expvul.csv",5,"Global land cover maps geotiff","https://dap.ceda.ac.uk/neodc/esacci/land_cover/data/land_cover_maps/v2.0.7/ESACCI-LC-L4-LCCS-Map-300m-P1Y-2015-v2.0.7.tif?download=1","200",TRUE
